Provider,Provider Type,Provider ID,Source,alertId,CSNF Dictionary,path,staticValue,entityType
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,provider.accountId,data.additionalDetails.tenantId,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,event.guid,data.resourceId,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,event.name,data.additionalDetails.problemName,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,event.shortDescription,data.additionalDetails.problemDescription,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,event.startTime,data.additionalDetails.firstDetected,,datetime
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,event.severity,data.additionalDetails.riskLevel,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,event.status,data.additionalDetails.status,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,resource.identifier,data.additionalDetails.resourceId,,orclResourceId
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,resource.type,data.additionalDetails.resourceType,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,resource.name,data.additionalDetails.resourceName,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,resource.region,data.additionalDetails.region,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,__default__,resource.zone,data.compartmentName,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,BUCKET_IS_PUBLIC,event.recommendation,data.additionalDetails.problemRecommendation,,string
Oracle Cloud Infrastructure,CSP,1,Cloud Guard,SUSPICIOUS_IP_ACTIVITY,event.geolocation.ipv4,data.additionalDetails.impactedResourceId,,
Azure,CSP,2,Defender,__default__,provider.accountId,properties.subscriptionId,,string
Azure,CSP,2,Defender,__default__,event.guid,id,,string
Azure,CSP,2,Defender,__default__,event.name,properties.alertName,,string
Azure,CSP,2,Defender,__default__,event.shortDescription,properties.alertDisplayName,,string
Azure,CSP,2,Defender,__default__,event.longDescription,properties.description,,string
Azure,CSP,2,Defender,__default__,event.startTime,properties.detectedTimeUtc,,string
Azure,CSP,2,Defender,__default__,event.severity,properties.description,,string
Azure,CSP,2,Defender,__default__,event.status,properties.state,,string
Azure,CSP,2,Defender,__default__,resource.identifier,properties.associatedResource,,string
Azure,CSP,2,Defender,__default__,resource.type,properties.extendedProperties.resourceType,,string
Aquasec,CSPM,3,Aqua,__default__,event.name,data.control,,string
Aquasec,CSPM,5,Aqua,__default__,event.guid,id,,string
Aquasec,CSPM,6,Aqua,__default__,event.shortDescription,data.reason,,string
Aquasec,CSPM,7,Aqua,__default__,event.startTime,data.time,,string
Aquasec,CSPM,8,Aqua,__default__,event.severity,,High,string
Aquasec,CSPM,10,Aqua,__default__,resource.identifier,containerid,,string
Aquasec,CSPM,11,Aqua,__default__,resource.type,type,,string
Aquasec,CSPM,12,Aqua,__default__,resource.name,data.container,,string
Aquasec,CSPM,13,Aqua,__default__,resource.region,data.vm_location,,string
